time,Import T1 kWh,Import T2 kWh,Export T1 kWh,Export T2 kWh
2024-12-01 00:00,12170.419,9550.585,0.000,0.000
2024-12-01 00:15,12170.743,9550.585,0.000,0.000
2024-12-01 00:30,12171.115,9550.585,0.000,0.000
2024-12-01 00:45,12171.377,9550.585,0.000,0.000
2024-12-01 01:00,12171.508,9550.585,0.000,0.000
2024-12-01 01:15,12171.648,9550.585,0.000,0.000
2024-12-01 01:30,12171.707,9550.585,0.000,0.000
2024-12-01 01:45,12171.779,9550.585,0.000,0.000
2024-12-01 02:00,12171.911,9550.585,0.000,0.000
2024-12-01 02:15,12171.961,9550.585,0.000,0.000
2024-12-01 02:30,12172.004,9550.585,0.000,0.000
2024-12-01 02:45,12172.062,9550.585,0.000,0.000
2024-12-01 03:00,12172.103,9550.585,0.000,0.000
2024-12-01 03:15,12172.142,9550.585,0.000,0.000
2024-12-01 03:30,12172.263,9550.585,0.000,0.000
2024-12-01 03:45,12172.328,9550.585,0.000,0.000
2024-12-01 04:00,12172.378,9550.585,0.000,0.000
2024-12-01 04:15,12172.422,9550.585,0.000,0.000
2024-12-01 04:30,12172.459,9550.585,0.000,0.000
2024-12-01 04:45,12172.515,9550.585,0.000,0.000
2024-12-01 05:00,12172.640,9550.585,0.000,0.000
2024-12-01 05:15,12172.683,9550.585,0.000,0.000
2024-12-01 05:30,12172.723,9550.585,0.000,0.000
2024-12-01 05:45,12172.785,9550.585,0.000,0.000
2024-12-01 06:00,12172.842,9550.585,0.000,0.000
2024-12-01 06:15,12172.928,9550.585,0.000,0.000
2024-12-01 06:30,12173.056,9550.585,0.000,0.000
2024-12-01 06:45,12173.104,9550.585,0.000,0.000
2024-12-01 07:00,12173.157,9550.585,0.000,0.000
2024-12-01 07:15,12173.215,9550.585,0.000,0.000
2024-12-01 07:30,12173.257,9550.585,0.000,0.000
2024-12-01 07:45,12173.304,9550.585,0.000,0.000
2024-12-01 08:00,12173.358,9550.585,0.000,0.000
2024-12-01 08:15,12173.588,9550.585,0.000,0.000
2024-12-01 08:30,12173.695,9550.585,0.000,0.000
2024-12-01 08:45,12173.749,9550.585,0.000,0.000
2024-12-01 09:00,12173.873,9550.585,0.000,0.000
2024-12-01 09:15,12173.946,9550.585,0.000,0.000
2024-12-01 09:30,12173.991,9550.585,0.000,0.000
2024-12-01 09:45,12174.048,9550.585,0.000,0.000
2024-12-01 10:00,12174.121,9550.585,0.000,0.000
2024-12-01 10:15,12174.188,9550.585,0.000,0.000
2024-12-01 10:30,12174.235,9550.585,0.000,0.000
2024-12-01 10:45,12174.272,9550.585,0.000,0.000
2024-12-01 11:00,12174.314,9550.585,0.000,0.000
2024-12-01 11:15,12174.472,9550.585,0.000,0.000
2024-12-01 11:30,12174.542,9550.585,0.000,0.000
2024-12-01 11:45,12174.696,9550.585,0.000,0.000
2024-12-01 12:00,12174.764,9550.585,0.000,0.000
2024-12-01 12:15,12175.301,9550.585,0.000,0.000
2024-12-01 12:30,12175.555,9550.585,0.000,0.000
2024-12-01 12:45,12175.828,9550.585,0.000,0.000
2024-12-01 13:00,12176.319,9550.585,0.000,0.000
2024-12-01 13:15,12176.634,9550.585,0.000,0.000
2024-12-01 13:30,12176.962,9550.585,0.000,0.000
2024-12-01 13:45,12177.511,9550.585,0.000,0.000
2024-12-01 14:00,12177.621,9550.585,0.000,0.000
2024-12-01 14:15,12177.703,9550.585,0.000,0.000
2024-12-01 14:30,12177.934,9550.585,0.000,0.000
2024-12-01 14:45,12177.992,9550.585,0.000,0.000
2024-12-01 15:00,12178.043,9550.585,0.000,0.000
2024-12-01 15:15,12178.087,9550.585,0.000,0.000
2024-12-01 15:30,12178.147,9550.585,0.000,0.000
2024-12-01 15:45,12178.197,9550.585,0.000,0.000
2024-12-01 16:00,12178.315,9550.585,0.000,0.000
2024-12-01 16:15,12178.370,9550.585,0.000,0.000
2024-12-01 16:30,12178.430,9550.585,0.000,0.000
2024-12-01 16:45,12178.486,9550.585,0.000,0.000
2024-12-01 17:00,12178.574,9550.585,0.000,0.000
2024-12-01 17:15,12178.619,9550.585,0.000,0.000
2024-12-01 17:30,12178.830,9550.585,0.000,0.000
2024-12-01 17:45,12178.946,9550.585,0.000,0.000
2024-12-01 18:00,12179.012,9550.585,0.000,0.000
2024-12-01 18:15,12179.159,9550.585,0.000,0.000
2024-12-01 18:30,12179.209,9550.585,0.000,0.000
2024-12-01 18:45,12179.273,9550.585,0.000,0.000
2024-12-01 19:00,12179.318,9550.585,0.000,0.000
2024-12-01 19:15,12179.363,9550.585,0.000,0.000
2024-12-01 19:30,12179.427,9550.585,0.000,0.000
2024-12-01 19:45,12179.496,9550.585,0.000,0.000
2024-12-01 20:00,12179.550,9550.585,0.000,0.000
2024-12-01 20:15,12179.607,9550.585,0.000,0.000
2024-12-01 20:30,12179.745,9550.585,0.000,0.000
2024-12-01 20:45,12179.807,9550.585,0.000,0.000
2024-12-01 21:00,12179.857,9550.585,0.000,0.000
2024-12-01 21:15,12179.902,9550.585,0.000,0.000
2024-12-01 21:30,12179.949,9550.585,0.000,0.000
2024-12-01 21:45,12180.011,9550.585,0.000,0.000
2024-12-01 22:00,12180.156,9550.585,0.000,0.000
